Order_ID,Company,City,Customer_Age,Product_Category,Discount_Applied,Order_Value,Delivery_Time_Min,Distance_Km,Items_Count,Customer_Rating,Delivery_Partner_Rating
ORD000036,JioMart Express,Bangalore,44.0,Fruits & Vegetables,No,439.85,17.3,1.4,,4.0,2.0
ORD000037,JioMart Express,Mumbai,61.0,Beverages,No,327.87,12.4,6.06,4.0,1.0,5.0
ORD000038,Swiggy Instamart,Chennai,44.0,Bakery,No,641.05,15.4,9.94,7.0,4.0,
ORD000039,BigBasket Now,Hyderabad,56.0,Beverages,No,664.5,14.4,5.82,18.0,4.0,4.0
ORD000040,BigBasket Now,Chennai,42.0,Dairy & Eggs,No,359.86,9.9,5.68,18.0,5.0,2.0
ORD000041,Blinkit,Mumbai,41.0,Snacks & Munchies,Yes,340.86,6.4,0.88,10.0,5.0,
ORD000042,Swiggy Instamart,Mumbai,25.0,Snacks & Munchies,Yes,991.65,11.3,1.82,10.0,4.0,2.0
ORD000043,Dunzo,Pune,26.0,Snacks & Munchies,Yes,706.06,33.8,5.38,6.0,4.0,3.0
ORD000044,Swiggy Instamart,Chennai,63.0,Bakery,Yes,421.33,14.5,9.86,12.0,3.0,2.0
ORD000045,Dunzo,Pune,54.0,Groceries,Yes,151.79,22.4,8.83,10.0,5.0,4.0
ORD000046,Blinkit,Chennai,47.0,Personal Care,Yes,495.91,7.0,3.73,13.0,3.0,4.0
ORD000047,Zepto,Hyderabad,36.0,Dairy & Eggs,Yes,613.3,11.0,5.66,12.0,4.0,5.0
ORD000048,BigBasket Now,Hyderabad,33.0,Baby Care,Yes,100.0,9.6,5.75,19.0,5.0,5.0
ORD000049,Blinkit,Pune,41.0,Beverages,No,469.24,15.2,7.01,1.0,5.0,5.0
ORD000050,BigBasket Now,Hyderabad,61.0,Snacks & Munchies,No,314.19,43.3,7.03,1.0,5.0,5.0
ORD000051,JioMart Express,Hyderabad,38.0,Snacks & Munchies,Yes,353.36,19.8,8.0,11.0,5.0,3.0
ORD000052,Zepto,Mumbai,53.0,Snacks & Munchies,No,234.06,32.4,0.74,18.0,5.0,4.0
ORD000053,Zepto,Bangalore,57.0,Dairy & Eggs,Yes,369.11,14.9,9.46,2.0,5.0,4.0
ORD000054,Blinkit,Chennai,56.0,Snacks & Munchies,No,930.01,28.4,1.17,6.0,3.0,4.0
ORD000055,Zepto,Delhi,64.0,Fruits & Vegetables,Yes,308.64,37.7,5.02,16.0,5.0,4.0
ORD000056,Dunzo,Delhi,23.0,Beverages,No,720.07,15.7,9.24,1.0,5.0,5.0
ORD000057,Zepto,Delhi,22.0,Dairy & Eggs,Yes,248.69,13.3,5.13,9.0,3.0,
ORD000058,BigBasket Now,Delhi,31.0,Beverages,No,636.04,9.7,1.1,15.0,4.0,5.0
ORD000059,BigBasket Now,Delhi,62.0,Meat & Seafood,Yes,403.83,14.5,2.68,16.0,2.0,3.0
ORD000060,BigBasket Now,Bangalore,59.0,Household Essentials,No,498.31,17.0,6.0,14.0,5.0,1.0
ORD000061,BigBasket Now,Pune,21.0,Fruits & Vegetables,Yes,405.16,37.1,1.33,7.0,4.0,4.0
ORD000062,Dunzo,Bangalore,25.0,Groceries,Yes,592.87,9.8,4.52,1.0,,4.0
ORD000063,Swiggy Instamart,Mumbai,41.0,Groceries,No,100.0,16.8,3.63,16.0,3.0,1.0
ORD000064,JioMart Express,Mumbai,28.0,Personal Care,Yes,172.11,8.0,8.24,9.0,5.0,4.0
ORD000065,Blinkit,Chennai,34.0,Fruits & Vegetables,No,518.14,13.9,1.55,11.0,4.0,4.0
ORD000066,BigBasket Now,Bangalore,38.0,Beverages,Yes,118.38,18.6,6.99,10.0,4.0,2.0
ORD000067,Zepto,Kolkata,43.0,Groceries,No,293.43,20.2,4.36,11.0,4.0,5.0
ORD000068,BigBasket Now,,60.0,Household Essentials,No,390.49,20.8,6.08,6.0,2.0,3.0
ORD000069,Zepto,Kolkata,61.0,Groceries,Yes,245.46,19.3,2.45,2.0,2.0,5.0
ORD000070,JioMart Express,Delhi,62.0,Snacks & Munchies,Yes,266.42,20.7,6.29,18.0,4.0,3.0
ORD000071,JioMart Express,Chennai,44.0,Personal Care,No,474.83,16.7,6.9,,4.0,4.0
ORD000072,JioMart Express,,33.0,Dairy & Eggs,No,739.21,10.8,1.17,14.0,4.0,5.0
ORD000073,Zepto,Pune,43.0,Baby Care,No,227.0,7.8,8.33,8.0,4.0,5.0
ORD000074,BigBasket Now,Hyderabad,50.0,Baby Care,Yes,285.71,13.2,8.68,4.0,2.0,5.0
ORD000075,JioMart Express,Delhi,48.0,Groceries,No,260.15,15.6,1.1,18.0,5.0,3.0
ORD000076,Dunzo,Delhi,64.0,Beverages,Yes,100.0,27.2,6.23,13.0,3.0,1.0
ORD000077,Zepto,Mumbai,23.0,Beverages,Yes,439.23,15.8,6.14,14.0,2.0,4.0
ORD000078,Zepto,Chennai,61.0,Snacks & Munchies,No,706.86,15.2,0.62,15.0,3.0,4.0
ORD000079,BigBasket Now,Delhi,25.0,Groceries,Yes,742.47,19.2,3.75,19.0,2.0,5.0
ORD000080,Zepto,,24.0,Groceries,Yes,239.26,14.8,9.7,14.0,3.0,4.0
ORD000081,Zepto,Delhi,51.0,Baby Care,Yes,190.37,22.7,5.78,12.0,4.0,
ORD000082,JioMart Express,Hyderabad,61.0,Meat & Seafood,No,408.69,36.3,9.37,15.0,5.0,4.0
ORD000083,BigBasket Now,Kolkata,31.0,Groceries,No,663.52,39.5,6.92,6.0,3.0,5.0
ORD000084,JioMart Express,Kolkata,33.0,Dairy & Eggs,No,442.71,17.1,0.77,19.0,4.0,3.0
ORD000085,JioMart Express,Chennai,60.0,Personal Care,No,479.9,18.8,1.24,2.0,5.0,5.0
ORD000086,BigBasket Now,Mumbai,26.0,Personal Care,No,800.39,30.9,7.36,6.0,3.0,4.0
ORD000087,Blinkit,Mumbai,27.0,Dairy & Eggs,No,258.92,15.5,5.77,11.0,5.0,5.0
ORD000088,JioMart Express,Chennai,34.0,Meat & Seafood,Yes,353.55,21.6,1.71,,3.0,
ORD000089,Dunzo,Delhi,29.0,Beverages,Yes,1075.74,10.4,6.33,9.0,3.0,5.0
ORD000090,Dunzo,Bangalore,23.0,Baby Care,Yes,358.49,14.5,8.2,13.0,4.0,2.0
ORD000091,Zepto,Mumbai,36.0,Personal Care,No,188.59,26.1,7.65,9.0,3.0,5.0
ORD000092,Dunzo,Delhi,60.0,Fruits & Vegetables,No,269.99,12.3,2.84,15.0,5.0,4.0
ORD000093,Zepto,Mumbai,58.0,Household Essentials,Yes,229.77,15.6,2.95,18.0,2.0,4.0
ORD000094,Blinkit,Pune,46.0,Baby Care,Yes,499.84,8.8,9.69,4.0,4.0,2.0
ORD000095,BigBasket Now,Delhi,23.0,Meat & Seafood,No,235.67,36.7,8.93,4.0,4.0,5.0
ORD000096,BigBasket Now,Hyderabad,42.0,Fruits & Vegetables,No,474.67,27.3,3.52,12.0,2.0,3.0
ORD000097,BigBasket Now,Mumbai,41.0,Groceries,No,259.4,17.7,8.33,9.0,5.0,3.0
ORD000098,Dunzo,Hyderabad,42.0,Dairy & Eggs,Yes,112.84,20.1,2.04,,4.0,2.0
ORD000099,Blinkit,Delhi,33.0,Groceries,Yes,484.91,19.3,2.37,6.0,5.0,1.0
ORD000100,Dunzo,Pune,33.0,Snacks & Munchies,Yes,441.01,28.6,2.22,17.0,5.0,4.0
ORD000101,Dunzo,Pune,23.0,Bakery,Yes,550.41,13.4,1.33,17.0,3.0,3.0
ORD000102,Blinkit,Delhi,54.0,Dairy & Eggs,Yes,269.4,22.0,8.62,13.0,4.0,
ORD000103,Blinkit,Pune,38.0,Fruits & Vegetables,No,252.72,25.3,6.0,12.0,,3.0
ORD000104,Blinkit,Ahmedabad,21.0,Household Essentials,Yes,513.31,26.7,2.96,14.0,3.0,4.0
ORD000105,Blinkit,Kolkata,51.0,Bakery,Yes,1003.66,6.7,8.56,8.0,1.0,4.0
ORD000106,BigBasket Now,Kolkata,45.0,Snacks & Munchies,Yes,406.14,12.9,8.13,15.0,5.0,4.0
ORD000107,Swiggy Instamart,Delhi,55.0,Beverages,No,520.48,10.9,1.46,9.0,4.0,4.0
ORD000108,Swiggy Instamart,Hyderabad,58.0,Snacks & Munchies,No,332.64,17.5,6.62,1.0,1.0,4.0
ORD000109,Blinkit,Mumbai,45.0,Bakery,No,159.78,7.3,7.36,17.0,1.0,5.0
ORD000110,Swiggy Instamart,Mumbai,34.0,Personal Care,Yes,720.87,7.3,7.3,10.0,3.0,1.0
ORD000111,Swiggy Instamart,Ahmedabad,31.0,Baby Care,Yes,695.79,39.2,7.37,5.0,1.0,5.0
ORD000112,Blinkit,Delhi,24.0,Meat & Seafood,Yes,617.99,21.1,2.11,11.0,4.0,3.0
ORD000113,Swiggy Instamart,Chennai,39.0,Groceries,Yes,361.71,17.3,3.49,3.0,2.0,5.0
ORD000114,Dunzo,Kolkata,18.0,Beverages,No,577.23,19.0,8.52,2.0,1.0,4.0
ORD000115,Zepto,Pune,46.0,Meat & Seafood,No,689.7,17.4,9.03,4.0,4.0,3.0
ORD000116,Zepto,Ahmedabad,48.0,Snacks & Munchies,No,1066.45,24.5,3.15,2.0,5.0,4.0
ORD000117,Blinkit,Delhi,47.0,Household Essentials,No,730.05,12.8,0.72,1.0,,5.0
ORD000118,BigBasket Now,Mumbai,32.0,Groceries,No,419.18,17.7,8.67,9.0,5.0,4.0
ORD000119,Blinkit,Bangalore,35.0,Beverages,Yes,184.02,18.0,4.08,3.0,1.0,
ORD000120,BigBasket Now,Mumbai,52.0,Meat & Seafood,No,442.92,10.8,3.63,6.0,5.0,2.0
ORD000121,Zepto,Mumbai,47.0,Groceries,Yes,470.57,27.4,3.8,14.0,2.0,5.0
ORD000122,Blinkit,Delhi,51.0,Groceries,No,617.34,13.8,4.45,1.0,5.0,5.0
ORD000123,JioMart Express,Kolkata,59.0,Beverages,Yes,908.99,24.7,4.09,12.0,,4.0
ORD000124,Dunzo,Hyderabad,28.0,Fruits & Vegetables,Yes,381.04,17.2,5.88,16.0,5.0,5.0
ORD000125,Swiggy Instamart,Delhi,44.0,Baby Care,No,1423.1,31.6,1.25,19.0,5.0,3.0
ORD000126,BigBasket Now,Hyderabad,41.0,Fruits & Vegetables,Yes,140.39,10.8,9.73,18.0,4.0,5.0
ORD000127,JioMart Express,Delhi,52.0,Groceries,Yes,518.84,10.7,9.4,14.0,3.0,4.0
ORD000128,Swiggy Instamart,Mumbai,56.0,Bakery,Yes,249.86,11.4,9.38,3.0,4.0,4.0
ORD000129,Swiggy Instamart,Chennai,25.0,Dairy & Eggs,Yes,128.47,17.3,8.85,14.0,4.0,2.0
ORD000130,Blinkit,Hyderabad,35.0,Bakery,No,357.43,30.5,6.77,17.0,1.0,5.0
ORD000131,Swiggy Instamart,Chennai,30.0,Beverages,No,168.29,31.1,2.6,13.0,,5.0
ORD000132,Dunzo,Mumbai,62.0,Groceries,No,366.19,6.5,0.97,1.0,4.0,5.0
ORD000133,JioMart Express,Kolkata,41.0,Groceries,Yes,411.93,18.2,1.44,8.0,1.0,3.0
ORD000134,Swiggy Instamart,Hyderabad,40.0,Household Essentials,No,789.28,5.0,3.58,2.0,4.0,3.0
ORD000135,Blinkit,Hyderabad,29.0,Baby Care,Yes,163.28,22.6,5.29,19.0,4.0,4.0
ORD000136,Dunzo,Hyderabad,47.0,Household Essentials,Yes,695.8,25.7,9.94,15.0,3.0,5.0
ORD000137,Zepto,Pune,48.0,Beverages,Yes,427.88,16.2,4.64,,4.0,5.0
ORD000138,JioMart Express,Hyderabad,45.0,Personal Care,No,747.93,17.0,5.48,14.0,5.0,3.0
ORD000139,Swiggy Instamart,Hyderabad,39.0,Fruits & Vegetables,Yes,311.36,16.9,7.1,18.0,5.0,4.0
ORD000140,Blinkit,Ahmedabad,61.0,Household Essentials,Yes,181.39,12.0,2.22,15.0,4.0,5.0
ORD000141,Zepto,Chennai,45.0,Beverages,No,194.32,19.5,9.36,10.0,3.0,3.0
ORD000142,Zepto,Bangalore,30.0,Fruits & Vegetables,Yes,185.85,15.0,5.53,18.0,,4.0
ORD000143,BigBasket Now,Chennai,42.0,Beverages,No,537.37,23.9,3.12,4.0,1.0,3.0
ORD000144,Dunzo,Bangalore,61.0,Personal Care,No,978.63,15.7,9.38,,3.0,4.0
ORD000145,Swiggy Instamart,Delhi,63.0,Baby Care,Yes,287.44,11.7,6.44,2.0,5.0,5.0
ORD000146,Blinkit,Hyderabad,24.0,Baby Care,Yes,588.44,8.9,5.1,9.0,5.0,5.0
ORD000147,BigBasket Now,Pune,62.0,Beverages,Yes,161.73,7.8,6.01,4.0,5.0,4.0
ORD000148,Dunzo,Pune,23.0,Household Essentials,No,449.53,27.8,7.61,12.0,4.0,4.0
ORD000149,BigBasket Now,Delhi,41.0,Baby Care,No,602.53,13.7,1.97,10.0,2.0,4.0
ORD000150,JioMart Express,Bangalore,36.0,Dairy & Eggs,Yes,169.21,18.8,8.72,11.0,4.0,5.0
ORD000151,Dunzo,Delhi,36.0,Household Essentials,Yes,356.98,33.6,9.62,1.0,4.0,4.0
ORD000152,Dunzo,Ahmedabad,53.0,Meat & Seafood,Yes,619.9,13.1,5.89,13.0,4.0,4.0
ORD000153,Swiggy Instamart,Ahmedabad,26.0,Snacks & Munchies,No,100.0,12.8,6.98,7.0,4.0,5.0
ORD000154,Dunzo,Hyderabad,53.0,Beverages,No,898.99,15.6,8.67,6.0,5.0,5.0
ORD000155,BigBasket Now,Kolkata,55.0,Beverages,Yes,498.8,16.6,4.06,9.0,5.0,5.0
ORD000156,Dunzo,Chennai,57.0,Beverages,No,620.2,35.0,9.93,18.0,4.0,5.0
ORD000157,Swiggy Instamart,Hyderabad,46.0,Personal Care,No,314.94,30.8,6.96,3.0,5.0,4.0
ORD000158,Swiggy Instamart,Mumbai,41.0,Beverages,No,143.5,21.1,4.53,13.0,,5.0
ORD000159,JioMart Express,Bangalore,22.0,Baby Care,Yes,555.82,29.4,6.93,3.0,4.0,4.0
ORD000160,BigBasket Now,Chennai,59.0,Baby Care,Yes,383.92,15.3,5.46,13.0,3.0,1.0
ORD000161,Zepto,Chennai,62.0,Snacks & Munchies,Yes,411.28,18.5,1.56,6.0,3.0,4.0
ORD000162,Zepto,Delhi,43.0,Snacks & Munchies,No,774.77,14.6,8.06,18.0,2.0,4.0
ORD000163,Dunzo,Ahmedabad,31.0,Bakery,No,637.3,9.8,5.86,2.0,3.0,3.0
ORD000164,JioMart Express,Mumbai,56.0,Household Essentials,No,1277.6,26.6,8.06,17.0,5.0,5.0
ORD000165,Blinkit,Bangalore,46.0,Baby Care,Yes,442.44,20.3,1.97,1.0,4.0,
ORD000166,Dunzo,Chennai,23.0,Baby Care,Yes,266.47,16.6,5.61,17.0,5.0,5.0
ORD000167,JioMart Express,Chennai,24.0,Personal Care,Yes,360.3,16.4,7.78,5.0,3.0,
ORD000168,BigBasket Now,Hyderabad,54.0,Baby Care,No,517.7,9.0,9.89,9.0,3.0,4.0
ORD000169,BigBasket Now,Delhi,35.0,Baby Care,Yes,742.12,11.1,8.9,4.0,4.0,4.0
ORD000170,BigBasket Now,Mumbai,40.0,Bakery,Yes,167.3,18.8,8.71,14.0,3.0,5.0
ORD000171,BigBasket Now,Hyderabad,61.0,Dairy & Eggs,No,405.5,13.3,2.85,8.0,4.0,3.0
ORD000172,BigBasket Now,Hyderabad,55.0,Bakery,Yes,1059.68,15.1,8.46,13.0,4.0,5.0
ORD000173,JioMart Express,Mumbai,18.0,Dairy & Eggs,No,349.28,15.8,2.11,6.0,5.0,5.0
ORD000174,JioMart Express,Chennai,21.0,Bakery,Yes,705.29,12.5,2.38,14.0,4.0,5.0
ORD000175,Swiggy Instamart,Bangalore,61.0,Baby Care,No,542.33,11.2,1.55,9.0,4.0,2.0
ORD000176,Zepto,Hyderabad,64.0,Bakery,No,715.88,8.6,8.65,17.0,3.0,4.0
ORD000177,BigBasket Now,Kolkata,52.0,Baby Care,No,248.18,15.5,1.53,7.0,5.0,5.0
ORD000178,Blinkit,Mumbai,40.0,Baby Care,No,248.83,21.1,1.81,9.0,4.0,3.0
ORD000179,JioMart Express,Mumbai,44.0,Snacks & Munchies,No,408.37,8.5,2.84,15.0,4.0,3.0
ORD000180,Blinkit,Kolkata,43.0,Groceries,No,160.88,16.3,5.94,,3.0,4.0
ORD000181,Blinkit,Hyderabad,25.0,Dairy & Eggs,No,343.15,18.4,8.86,14.0,4.0,5.0
ORD000182,Blinkit,Chennai,60.0,Meat & Seafood,No,469.53,11.1,4.47,16.0,5.0,4.0
ORD000183,Swiggy Instamart,Kolkata,33.0,Household Essentials,Yes,1177.07,29.0,5.69,2.0,2.0,4.0
ORD000184,JioMart Express,Kolkata,58.0,Household Essentials,Yes,513.7,14.1,2.08,4.0,5.0,4.0
ORD000185,Blinkit,Ahmedabad,20.0,Bakery,Yes,587.07,15.8,3.03,15.0,4.0,5.0
ORD000186,BigBasket Now,Bangalore,49.0,Groceries,No,811.34,15.4,1.77,11.0,4.0,1.0
ORD000187,Dunzo,Bangalore,22.0,Personal Care,No,226.15,8.1,4.39,11.0,5.0,3.0
ORD000188,Blinkit,Bangalore,37.0,Meat & Seafood,No,365.38,24.6,6.11,13.0,4.0,3.0
ORD000189,Swiggy Instamart,Mumbai,31.0,Household Essentials,Yes,1728.91,11.2,3.2,16.0,,2.0
ORD000190,JioMart Express,Hyderabad,49.0,Fruits & Vegetables,Yes,384.72,15.0,8.54,9.0,4.0,3.0
ORD000191,Swiggy Instamart,Delhi,43.0,Beverages,Yes,788.28,20.9,9.82,2.0,3.0,3.0
ORD000192,Blinkit,Pune,64.0,Fruits & Vegetables,No,719.27,29.5,1.64,2.0,4.0,
ORD000193,JioMart Express,Hyderabad,23.0,Personal Care,Yes,166.19,10.7,0.67,5.0,5.0,3.0
ORD000194,Dunzo,,53.0,Meat & Seafood,No,486.04,13.8,8.0,5.0,5.0,4.0
ORD000195,Blinkit,Delhi,57.0,Household Essentials,Yes,440.56,28.6,2.31,5.0,3.0,5.0
ORD000196,Swiggy Instamart,Mumbai,22.0,Bakery,Yes,491.75,19.8,3.85,14.0,3.0,3.0
ORD000197,Zepto,Mumbai,30.0,Beverages,No,256.6,21.5,4.25,6.0,4.0,4.0
ORD000198,BigBasket Now,Bangalore,49.0,Dairy & Eggs,No,206.41,10.8,9.21,16.0,4.0,3.0
ORD000199,Swiggy Instamart,Mumbai,33.0,Household Essentials,Yes,303.2,14.1,6.76,16.0,3.0,4.0
ORD000200,JioMart Express,Hyderabad,18.0,Household Essentials,No,380.44,15.4,0.89,8.0,3.0,5.0
ORD000201,Blinkit,Pune,30.0,Personal Care,Yes,821.38,11.7,0.64,5.0,5.0,5.0
ORD000202,BigBasket Now,Pune,28.0,Household Essentials,No,1200.37,8.4,2.4,13.0,5.0,4.0
ORD000203,Blinkit,Hyderabad,25.0,Meat & Seafood,No,932.58,13.4,3.52,3.0,5.0,5.0
ORD000204,JioMart Express,Delhi,42.0,Groceries,Yes,675.94,28.3,5.1,9.0,5.0,5.0
ORD000205,Blinkit,Pune,57.0,Meat & Seafood,No,220.83,16.8,8.46,4.0,3.0,3.0
ORD000206,Zepto,Pune,49.0,Dairy & Eggs,Yes,315.66,28.5,3.49,8.0,5.0,3.0
ORD000207,BigBasket Now,Mumbai,41.0,Groceries,No,457.58,17.7,4.08,16.0,4.0,
ORD000208,BigBasket Now,Chennai,45.0,Household Essentials,No,276.04,12.1,3.63,11.0,5.0,5.0
ORD000209,JioMart Express,Delhi,31.0,Household Essentials,No,570.39,27.4,0.59,19.0,3.0,4.0
ORD000210,Zepto,Kolkata,62.0,Beverages,Yes,621.6,17.9,9.57,10.0,3.0,3.0
ORD000211,Swiggy Instamart,Ahmedabad,20.0,Household Essentials,Yes,556.56,24.2,1.82,7.0,5.0,5.0
ORD000212,Blinkit,Mumbai,53.0,Baby Care,Yes,746.26,10.7,3.23,12.0,5.0,3.0
ORD000213,Dunzo,Pune,44.0,Dairy & Eggs,No,234.45,24.9,1.73,8.0,5.0,4.0
ORD000214,Blinkit,Hyderabad,37.0,Snacks & Munchies,No,706.06,25.2,5.16,10.0,5.0,1.0
ORD000215,Blinkit,Ahmedabad,64.0,Bakery,No,265.77,18.5,9.36,5.0,4.0,1.0
ORD000216,Swiggy Instamart,Bangalore,32.0,Beverages,No,229.39,11.9,1.46,5.0,5.0,4.0
ORD000217,Blinkit,Kolkata,44.0,Fruits & Vegetables,Yes,555.17,16.1,4.69,13.0,5.0,4.0
ORD000218,Zepto,Mumbai,62.0,Groceries,Yes,836.75,21.0,0.71,2.0,5.0,3.0
ORD000219,Zepto,Delhi,58.0,Snacks & Munchies,Yes,540.67,18.1,7.82,12.0,4.0,5.0
ORD000220,BigBasket Now,Mumbai,45.0,Bakery,Yes,408.5,20.9,6.59,11.0,1.0,2.0
ORD000221,JioMart Express,Ahmedabad,42.0,Household Essentials,Yes,485.94,24.7,7.15,2.0,4.0,4.0
ORD000222,Dunzo,Kolkata,59.0,Meat & Seafood,No,437.84,12.7,4.99,15.0,4.0,3.0
ORD000223,Blinkit,Pune,61.0,Baby Care,Yes,205.29,10.4,9.12,7.0,5.0,5.0
ORD000224,Blinkit,Pune,63.0,Groceries,Yes,191.41,16.2,4.39,8.0,4.0,5.0
ORD000225,Swiggy Instamart,Mumbai,50.0,Groceries,No,384.79,14.4,5.38,3.0,4.0,2.0
ORD000226,JioMart Express,Bangalore,63.0,Groceries,Yes,423.23,22.5,7.11,17.0,5.0,3.0
ORD000227,Zepto,Mumbai,31.0,Dairy & Eggs,No,406.18,10.7,5.45,6.0,2.0,5.0
ORD000228,Dunzo,Delhi,25.0,Groceries,Yes,605.26,24.7,2.3,15.0,3.0,4.0
ORD000229,BigBasket Now,Delhi,31.0,Beverages,No,354.5,28.3,3.51,13.0,4.0,4.0
ORD000230,Zepto,Bangalore,18.0,Bakery,No,565.54,16.4,1.38,13.0,3.0,3.0
ORD000231,JioMart Express,Delhi,33.0,Meat & Seafood,Yes,369.91,16.8,4.61,12.0,3.0,5.0
ORD000232,BigBasket Now,Mumbai,35.0,Beverages,No,1204.74,12.1,6.29,14.0,5.0,5.0
ORD000233,Swiggy Instamart,Mumbai,24.0,Beverages,No,423.45,13.2,1.63,9.0,4.0,1.0
ORD000234,Swiggy Instamart,Mumbai,32.0,Baby Care,No,1643.25,14.0,6.49,10.0,2.0,4.0
ORD000235,Blinkit,Ahmedabad,41.0,Meat & Seafood,Yes,498.3,29.3,8.98,5.0,3.0,5.0
ORD000236,JioMart Express,Chennai,30.0,Baby Care,Yes,354.88,16.0,3.71,5.0,,4.0
ORD000237,Dunzo,Ahmedabad,26.0,Groceries,No,235.18,9.7,2.61,6.0,4.0,4.0
ORD000238,BigBasket Now,Bangalore,32.0,Groceries,No,169.74,18.2,8.98,12.0,3.0,4.0
ORD000239,Zepto,Delhi,52.0,Beverages,Yes,222.55,22.9,7.07,17.0,5.0,1.0
ORD000240,JioMart Express,Kolkata,41.0,Beverages,Yes,237.99,16.3,1.5,16.0,4.0,5.0
ORD000241,JioMart Express,,50.0,Groceries,Yes,511.27,29.6,4.38,18.0,2.0,4.0
ORD000242,Swiggy Instamart,Delhi,33.0,Personal Care,Yes,294.21,22.4,6.9,6.0,3.0,4.0
ORD000243,Blinkit,Delhi,25.0,Bakery,Yes,451.31,10.8,5.96,10.0,4.0,3.0
ORD000244,Blinkit,Mumbai,46.0,Dairy & Eggs,Yes,870.6,13.2,6.38,9.0,3.0,5.0
